Treatments,mOD_min_mg_protein,Block
CT,771.687,1
CT,30.412,2
CT,238.947,3
CT,103.09,4
CT,0,5
CT,0,6
CT,276.781,7
CT,278.831,8
WT,2521.654,1
WT,5448.882,2
WT,4198.874,3
WT,1670.463,4
WT,2784.989,5
WT,2900.224,6
WT,0,7
WT,0,8
GT,3998.291,1
GT,1019.662,2
GT,2293.58,3
GT,23639.748,4
GT,1612.153,5
GT,1513.892,6
GT,2561.978,7
GT,3371.633,8
HT,1136.358,1
HT,1181.24,2
HT,1115.331,3
HT,3575.626,4
HT,821.026,5
HT,682.012,6
HT,924.024,7
HT,1654.379,8
PT,4165.666,1
PT,871.353,2
PT,3628.723,3
PT,803.303,4
PT,7844.527,5
PT,0,6
PT,2213.319,7
PT,1806.188,8
