Treatments,mOD_min_mg_protein,Block,Trials
CT,771.687,1,1
CT,30.412,2,1
CT,238.947,3,1
CT,103.09,4,1
CT,276.781,7,1
CT,278.831,8,1
WT,2521.654,1,1
WT,5448.882,2,1
WT,4198.874,3,1
WT,1670.463,4,1
WT,2784.989,5,1
WT,2900.224,6,1
GT,3998.291,1,1
GT,1019.662,2,1
GT,2293.58,3,1
GT,23639.748,4,1
GT,1612.153,5,1
GT,1513.892,6,1
GT,2561.978,7,1
GT,3371.633,8,1
HT,1136.358,1,1
HT,1181.24,2,1
HT,1115.331,3,1
HT,3575.626,4,1
HT,821.026,5,1
HT,682.012,6,1
HT,924.024,7,1
HT,1654.379,8,1
PT,4165.666,1,1
PT,871.353,2,1
PT,3628.723,3,1
PT,803.303,4,1
PT,7844.527,5,1
PT,2213.319,7,1
PT,1806.188,8,1
CT,66.627,1,2
CT,171.619,2,2
CT,19.554,3,2
CT,89.218,4,2
CT,35.631,5,2
CT,74.501,6,2
CT,70.677,7,2
CT,383.351,8,2
WT,833.366,1,2
WT,992.137,2,2
WT,1424.16,3,2
WT,1333.983,4,2
WT,805.075,5,2
WT,1339.822,6,2
WT,1803.392,7,2
WT,1114.322,8,2
GT,1412.366,1,2
GT,636.003,2,2
GT,1182.781,3,2
GT,1425.927,4,2
GT,1425.907,5,2
GT,2475.219,6,2
GT,3789.376,7,2
GT,2968.147,8,2
HT,933.759,1,2
HT,781.851,2,2
HT,451.467,3,2
HT,4516.652,4,2
HT,641.85,5,2
HT,1227.719,6,2
HT,537.379,7,2
HT,458.591,8,2
PT,2008.145,1,2
PT,778.327,2,2
PT,1074.292,3,2
PT,971.045,4,2
PT,904.795,5,2
PT,1446.353,6,2
PT,520.432,7,2
PT,704.787,8,2
