Treatments,mOD_min_mg_protein,Block
CT,66.627,1
CT,171.619,2
CT,19.554,3
CT,89.218,4
CT,35.631,5
CT,74.501,6
CT,70.677,7
CT,383.351,8
WT,833.366,1
WT,992.137,2
WT,1424.16,3
WT,1333.983,4
WT,805.075,5
WT,1339.822,6
WT,1803.392,7
WT,1114.322,8
GT,1412.366,1
GT,636.003,2
GT,1182.781,3
GT,1425.927,4
GT,1425.907,5
GT,2475.219,6
GT,3789.376,7
GT,2968.147,8
HT,933.759,1
HT,781.851,2
HT,451.467,3
HT,4516.652,4
HT,641.85,5
HT,1227.719,6
HT,537.379,7
HT,458.591,8
PT,2008.145,1
PT,778.327,2
PT,1074.292,3
PT,971.045,4
PT,904.795,5
PT,1446.353,6
PT,520.432,7
PT,704.787,8
