Treatments,mOD_min_mg_protein,Block,Trials
CT,89673.1,1,1
CT,882.766,2,1
CT,12049.96,3,1
CT,2975.18,4,1
CT,7626.417,7,1
CT,2535.222,8,1
WT,10342.909,1,1
WT,5829.692,2,1
WT,12143.057,3,1
WT,4275.614,4,1
WT,2734.042,5,1
WT,10222.996,6,1
GT,6194.172,1,1
GT,8964.522,2,1
GT,8603.046,3,1
GT,73095.805,4,1
GT,5243.801,5,1
GT,8527.928,6,1
GT,9842.322,7,1
GT,12849.397,8,1
HT,5279.154,1,1
HT,6623.093,2,1
HT,8210.513,3,1
HT,1924.99,4,1
HT,6959.969,5,1
HT,5737.28,6,1
HT,3163.883,7,1
HT,6173.484,8,1
PT,10139.152,1,1
PT,500.624,2,1
PT,1370.935,3,1
PT,6228.501,4,1
PT,28409.92,5,1
PT,1306.419,7,1
PT,8543.125,8,1
CT,4774.046,1,2
CT,5787.836,2,2
CT,3132.367,3,2
CT,5432.106,4,2
CT,2302.251,5,2
CT,3231.237,6,2
CT,3707.813,7,2
CT,5592.768,8,2
WT,3036.701,1,2
WT,3575.196,2,2
WT,4913.693,3,2
WT,2732.507,4,2
WT,3672.292,5,2
WT,7047.515,6,2
WT,8285.46,7,2
WT,7989.652,8,2
GT,5645.158,1,2
GT,2499.754,2,2
GT,7073.48,3,2
GT,7976.714,4,2
GT,6937.891,5,2
GT,3515.805,6,2
GT,10245.627,7,2
GT,6799.462,8,2
HT,6651.882,1,2
HT,5689.494,2,2
HT,5237.994,3,2
HT,23606.872,4,2
HT,3251.308,5,2
HT,7206.588,6,2
HT,4687.01,7,2
HT,4998.059,8,2
PT,5418.086,1,2
PT,4863.595,2,2
PT,2672.545,3,2
PT,5480.113,4,2
PT,6353.848,5,2
PT,3487.814,6,2
PT,5275.694,7,2
PT,5128.401,8,2
