Treatments,mOD_min_mg_protein,Block
CT,4774.046,1
CT,5787.836,2
CT,3132.367,3
CT,5432.106,4
CT,2302.251,5
CT,3231.237,6
CT,3707.813,7
CT,5592.768,8
WT,3036.701,1
WT,3575.196,2
WT,4913.693,3
WT,2732.507,4
WT,3672.292,5
WT,7047.515,6
WT,8285.46,7
WT,7989.652,8
GT,5645.158,1
GT,2499.754,2
GT,7073.48,3
GT,7976.714,4
GT,6937.891,5
GT,3515.805,6
GT,10245.627,7
GT,6799.462,8
HT,6651.882,1
HT,5689.494,2
HT,5237.994,3
HT,23606.872,4
HT,3251.308,5
HT,7206.588,6
HT,4687.01,7
HT,4998.059,8
PT,5418.086,1
PT,4863.595,2
PT,2672.545,3
PT,5480.113,4
PT,6353.848,5
PT,3487.814,6
PT,5275.694,7
PT,5128.401,8
