Treatments,Inhibition_mg_protein,Block,Trials
CT,416,1,1
CT,631,2,1
CT,677,3,1
CT,1060,4,1
CT,416,5,1
CT,459,6,1
CT,233,7,1
CT,425,8,1
WT,503,1,1
WT,750,2,1
WT,1470,3,1
WT,1120,4,1
WT,652,5,1
WT,603,6,1
WT,474,7,1
WT,1120,8,1
GT,898,1,1
GT,836,2,1
GT,899,3,1
GT,213,4,1
GT,1340,5,1
GT,467,6,1
GT,758,7,1
GT,1030,8,1
HT,803,1,1
HT,1040,2,1
HT,768,3,1
HT,450,4,1
HT,880,5,1
HT,886,6,1
HT,976,7,1
HT,1120,8,1
PT,1430,1,1
PT,658,2,1
PT,690,3,1
PT,1180,4,1
PT,519,5,1
PT,562,6,1
PT,581,7,1
PT,179,8,1
CT,4620,1,2
CT,4550,2,2
CT,1860,3,2
CT,3830,4,2
CT,2090,5,2
CT,2610,6,2
CT,2490,7,2
CT,3050,8,2
WT,3390,1,2
WT,26800,2,2
WT,3970,3,2
WT,3230,4,2
WT,3580,5,2
WT,2600,6,2
WT,3050,7,2
WT,2390,8,2
GT,5380,2,2
GT,6710,3,2
GT,3580,4,2
GT,17200,5,2
GT,5860,6,2
GT,12700,7,2
HT,46800,1,2
HT,4680,2,2
HT,3190,3,2
HT,16200,4,2
HT,5430,5,2
HT,4380,6,2
HT,3310,7,2
HT,11000,8,2
PT,4480,1,2
PT,8770,2,2
PT,3970,3,2
PT,4490,4,2
PT,5190,5,2
PT,5120,6,2
PT,4120,7,2
PT,3420,8,2
